Wavelength	Actinix_flux	Br2	BrO	HOBr	BrNO2	BrNO3
5.44E+02	5.26E+14	1.04E-19	0.00E+00	1.62E-23	0.00E+00	0.00E+00
5.45E+02	5.14E+14	1.01E-19	0.00E+00	1.30E-23	0.00E+00	0.00E+00
5.46E+02	5.12E+14	9.78E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.47E+02	5.18E+14	9.49E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.48E+02	5.04E+14	9.21E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.49E+02	5.20E+14	8.94E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.50E+02	5.16E+14	8.68E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.51E+02	5.16E+14	8.42E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.52E+02	5.27E+14	8.17E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.53E+02	5.13E+14	7.93E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.54E+02	5.24E+14	7.70E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.55E+02	5.28E+14	7.47E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.56E+02	5.20E+14	7.25E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.57E+02	5.08E+14	7.04E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.58E+02	5.21E+14	6.83E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.59E+02	4.94E+14	6.63E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
